Player,Nation,Pos,Squad,Comp,Age,Min,90s,Gls,Ast,G+A,G-PK,xG,npxG,xAG,PrgC,PrgP,Gls_per90,xG_per90,Finishing_Diff
Max Aarons,ENG,DF,Bournemouth,eng Premier League,23.0,1237,13.7,0,1,1,0,0.0,0.0,0.8,22.0,43.0,0.0,0.0,0.0
Brenden Aaronson,USA,"MF,FW",Union Berlin,de Bundesliga,22.0,1267,14.1,2,2,4,2,2.0,2.0,1.9,37.0,56.0,0.1420678768745067,0.1420678768745067,0.0
Yunis Abdelhamid,MAR,DF,Reims,fr Ligue 1,35.0,2781,30.9,4,0,4,3,3.4,2.6,0.3,36.0,137.0,0.12944983818770225,0.11003236245954694,0.6000000000000001
Salis Abdul Samed,GHA,MF,Lens,fr Ligue 1,23.0,1519,16.9,0,0,0,0,0.8,0.8,0.5,9.0,78.0,0.0,0.04739960500329164,-0.8
Laurent Abergel,FRA,MF,Lorient,fr Ligue 1,30.0,2860,31.8,2,1,3,2,1.1,1.1,2.2,38.0,194.0,0.06293706293706294,0.03461538461538462,0.8999999999999999
Matthis Abline,FRA,FW,Nantes,fr Ligue 1,20.0,1044,11.6,5,0,5,5,3.8,3.8,2.0,28.0,20.0,0.43103448275862066,0.3275862068965517,1.2000000000000002
Abner,BRA,DF,Betis,es La Liga,23.0,1400,15.6,0,1,1,0,0.1,0.1,1.0,14.0,33.0,0.0,0.006428571428571429,-0.1
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr Ligue 1,23.0,754,8.4,3,0,3,2,2.8,2.0,0.2,23.0,20.0,0.35809018567639256,0.3342175066312997,0.20000000000000018
Abdel Abqar,MAR,DF,Alavés,es La Liga,24.0,2312,25.7,0,0,0,0,0.5,0.5,0.2,7.0,49.0,0.0,0.019463667820069204,-0.5
Francesco Acerbi,ITA,DF,Inter,it Serie A,35.0,2388,26.5,3,1,4,3,1.6,1.6,1.8,21.0,87.0,0.11306532663316583,0.06030150753768845,1.4
Marcos Acuña,ARG,DF,Sevilla,es La Liga,31.0,1292,14.4,1,2,3,1,0.3,0.3,1.5,23.0,59.0,0.0696594427244582,0.02089783281733746,0.7
Bénie Adama Traore,CIV,"FW,MF",Nantes,fr Ligue 1,20.0,504,5.6,0,1,1,0,0.7,0.7,0.9,23.0,15.0,0.0,0.12499999999999999,-0.7
Akor Adams,NGA,FW,Montpellier,fr Ligue 1,23.0,2252,25.0,8,1,9,8,12.4,12.4,1.9,40.0,17.0,0.3197158081705151,0.4955595026642984,-4.4
Sargis Adamyan,ARM,"FW,MF",Köln,de Bundesliga,30.0,801,8.9,1,2,3,1,4.1,4.1,2.0,15.0,18.0,0.11235955056179775,0.46067415730337075,-3.0999999999999996
Tosin Adarabioyo,ENG,DF,Fulham,eng Premier League,25.0,1617,18.0,2,0,2,2,0.7,0.7,0.1,10.0,62.0,0.11131725417439704,0.03896103896103896,1.3
Elijah Adebayo,ENG,FW,Luton Town,eng Premier League,25.0,1419,15.8,10,0,10,10,5.9,5.9,0.7,16.0,23.0,0.6342494714587739,0.3742071881606766,4.1
Karim Adeyemi,GER,"FW,MF",Dortmund,de Bundesliga,21.0,913,10.1,3,1,4,3,3.5,3.5,2.0,52.0,26.0,0.2957283680175246,0.34501642935377874,-0.5
Simon Adingra,CIV,FW,Brighton,eng Premier League,21.0,2222,24.7,6,1,7,6,4.3,4.3,3.7,111.0,50.0,0.24302430243024303,0.17416741674167416,1.7000000000000002
Nathaniel Adjei,GHA,DF,Lorient,fr Ligue 1,20.0,1243,13.8,0,0,0,0,0.4,0.4,0.1,10.0,34.0,0.0,0.028962188254223656,-0.4
Amine Adli,MAR,"MF,FW",Leverkusen,de Bundesliga,23.0,898,10.0,4,6,10,4,3.3,3.3,2.3,32.0,39.0,0.40089086859688194,0.33073496659242757,0.7000000000000002
Yacine Adli,FRA,MF,Milan,it Serie A,23.0,1407,15.6,1,2,3,1,0.3,0.3,2.2,30.0,125.0,0.06396588486140725,0.019189765458422173,0.7
Michel Aebischer,SUI,MF,Bologna,it Serie A,26.0,2230,24.8,0,1,1,0,1.1,1.1,1.5,26.0,125.0,0.0,0.04439461883408072,-1.1
Emmanuel Agbadou,CIV,DF,Reims,fr Ligue 1,26.0,2596,28.8,1,1,2,1,2.4,2.4,1.5,42.0,179.0,0.03466872110939908,0.08320493066255777,-1.4
Lucien Agoume,FRA,MF,Sevilla,es La Liga,21.0,777,8.6,0,0,0,0,0.9,0.9,0.6,7.0,35.0,0.0,0.10424710424710425,-0.9
